heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
XFX Radeon RX 6950 XT Speedster MERC 319 Skjermkort GPU Grafikkort,6900,Radeon RX 6950 XT 16 GB,AMD,rx 6950 xt,,rx 6950 xt,https://www.finn.no/recommerce/forsale/item/371599734
GamingPoint CHARGER RGB,4399,Unknown,,,,,https://www.finn.no/bap/webstore/ad.html?finnkode=374109514
MSI GeForce RTX 3050 VENTUS 2X XS 8G skjermkort,1950,GeForce RTX 3050 8 GB,NVIDIA,rtx 3050,,rtx 3050,https://www.finn.no/recommerce/forsale/item/376089861
RX 6900 XT 16 Gb XFX Merc Skjermkort,4500,Radeon RX 6900 XT 16 GB,AMD,rx 6900 xt,16,rx 6900 xt,https://www.finn.no/recommerce/forsale/item/376046433
RTC Asus tuf 3070 Skjermkort,4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,https://www.finn.no/recommerce/forsale/item/376030780
PowerColor Radeon RX 6600 Fighter,1499,Radeon RX 6600 8 GB,AMD,rx 6600,,rx 6600,https://www.finn.no/bap/webstore/ad.html?finnkode=365695264
GeForce GTX 1660 Super 6gb - Skjermkort,1000,GeForce GTX 1660 SUPER 6 GB,NVIDIA,gtx 1660 super,6,gtx 1660 super,https://www.finn.no/recommerce/forsale/item/375977734
"Matrox G450 quad skjermkort for 4 skjermer, tilsalgs",1000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/58351594
Lenovo NVIDIA RTX A2000  6 G Grafikkort Skjermkort GPU,2800,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/366113912
Custom Gaming PC Pakke (Kids-edition),5899,Unknown,,,,,https://www.finn.no/bap/webstore/ad.html?finnkode=340479768
XFX Radeon RX 7700 XT Qick 319 12GB skjermkort,4400,Radeon RX 7700 XT 12 GB,AMD,rx 7700 xt,12,rx 7700 xt,https://www.finn.no/recommerce/forsale/item/375822463
HP Omen 25L Gaming PC selges uten skjermkort,3000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375685751
Ubrukt GeForce GTX 1080 X skjermkort,1200,GeForce GTX 1080 8 GB,NVIDIA,gtx 1080,,gtx 1080,https://www.finn.no/recommerce/forsale/item/366034340
HP ELITEDESK 705 G3 MINI / AMD A10-8770E R7 / RADEON GRAPHICS / 8GB / 128 GB SSD,1199,Unknown,AMD,705,8,,https://www.finn.no/bap/webstore/ad.html?finnkode=355081394
"Acer Kraftig Gaming Pc i5 (11) generasjon,  16GB Ram, 512GB SSD, 4GB skjermkort",3799,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375598849
Skjermkort XFX AMD Radeon RX 6750 XT Core Gaming,4000,Radeon RX 6750 XT 12 GB,AMD,rx 6750 xt,,rx 6750 xt,https://www.finn.no/recommerce/forsale/item/375263733
Samsung Radeon Rx Vega 64 8gb graphics card/ skjermkort,1900,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/345311634
Gaming PC Pakke - Med garanti! (30% Rabatt),1999,Unknown,,,,,https://www.finn.no/bap/webstore/ad.html?finnkode=350360758
Selger en top geforce GTX 780 Ti skjermkort med vannblokk,1400,Unknown,NVIDIA,gtx 780 ti,,,https://www.finn.no/recommerce/forsale/item/218966099
RX 6700 XT Skjermkort,3250,Radeon RX 6700 XT 12 GB,AMD,rx 6700 xt,,rx 6700 xt,https://www.finn.no/recommerce/forsale/item/365180872
Zotak GeForce GTX 1070 Mini 8Gb skjermkort,1000,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,8,gtx 1070,https://www.finn.no/recommerce/forsale/item/362508387
Gaming PC-er (20% PÅ ALLE PC-ER!) 5-ÅRS GARANTI,2490,Unknown,,,,,https://www.finn.no/bap/webstore/ad.html?finnkode=362588410
Skjermkort - Sapphire Nitro+ RX570 8GB,1000,Unknown,AMD,rx 570,8,,https://www.finn.no/bap/forsale/ad.html?finnkode=334872505
nvidia skjermkort,2300,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/373916772
"Hovedkort, CPU og Skjermkort selges",1600,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=373740208
